,,,,
SortAlgo,WordsSort,NumberWords,Comparisons,Swaps
insertion,random,250,15085,14836
insertion,random,500,60610,60111
insertion,random,1000,249108,248109
insertion,random,2000,1055144,1053145
insertion,random,4000,4087000,4083001
insertion,random,8000,16213329,16205330
insertion,random,16000,64604708,64588709
insertion,random,32000,257400495,257368496
insertion,random,64000,1029034443,1028970444
merge,random,250,1675,830
merge,random,500,3854,1901
merge,random,1000,8688,4312
merge,random,2000,19390,9632
merge,random,4000,42767,21283
merge,random,8000,93611,46533
merge,random,16000,203280,101165
merge,random,32000,438549,217977
merge,random,64000,941071,468009
merge,random,128000,2010343,1000713
merge,random,256000,4276737,2129194
quick,random,250,2430,487
quick,random,500,6515,1059
quick,random,1000,13398,2384
quick,random,2000,29862,5201
quick,random,4000,61694,11422
quick,random,8000,135227,24617
quick,random,16000,290998,53139
quick,random,32000,612862,114225
quick,random,64000,1316172,244330
quick,random,128000,2833849,522027
quick,random,256000,5935625,1099299
heap,random,250,5658,1761
heap,random,500,12873,4041
heap,random,1000,28749,9083
heap,random,2000,63471,20157
heap,random,4000,138714,44238
heap,random,8000,301887,96629
heap,random,16000,652080,209360
heap,random,32000,1399425,450475
heap,random,64000,2991120,965040
heap,random,128000,6365538,2057846
heap,random,256000,13526049,4380683
insertion,sorted,250,249,0
insertion,sorted,500,499,0
insertion,sorted,1000,999,0
insertion,sorted,2000,1999,0
insertion,sorted,4000,3999,0
insertion,sorted,8000,7999,0
insertion,sorted,16000,15999,0
insertion,sorted,32000,31999,0
insertion,sorted,64000,63999,0
insertion,sorted,128000,127999,0
insertion,sorted,256000,255999,0
merge,sorted,250,1011,0
merge,sorted,500,2272,0
merge,sorted,1000,5044,0
merge,sorted,2000,11088,0
merge,sorted,4000,24176,0
merge,sorted,8000,52352,0
merge,sorted,16000,112704,0
merge,sorted,32000,241408,0
merge,sorted,64000,514816,0
merge,sorted,128000,1093632,0
merge,sorted,256000,2315264,0
quick,sorted,250,18673,219
quick,sorted,500,74658,437
quick,sorted,1000,299340,869
quick,sorted,2000,1180419,1736
quick,sorted,4000,4702394,3498
quick,sorted,8000,18805146,6990
quick,sorted,16000,75281363,13974
quick,sorted,32000,313465947,28878
quick,sorted,64000,1372875604,59116
quick,sorted,128000,1448910530,119401
heap,sorted,250,5658,1761
heap,sorted,500,12873,4041
heap,sorted,1000,28749,9083
heap,sorted,2000,63471,20157
heap,sorted,4000,138714,44238
heap,sorted,8000,301887,96629
heap,sorted,16000,652080,209360
heap,sorted,32000,1399425,450475
heap,sorted,64000,2991120,965040
heap,sorted,128000,6365538,2057846
heap,sorted,256000,13526049,4380683
